,please',call',stella',ask',her',to',bring',these',things',with',from',the',store',six',spoons',of',fresh',snow',peas',five',thick',slabs',blue',cheese',and',maybe',a',snack',for',brother',bob',we',also',need',small',plastic',snake',big',toy',frog',kids',she',can',scoop',into',three',red',bags',will',go',meet',wednesday',at',train',station'],
['0.9',4,4,4,4,16,5,4,8,8,5,4,13,4,5,4,8,4,4,4,4,3,3,4,4,12,4,12,3,8,3,3,8,4,4,4,4,5,4,4,4,3,3,4,3,3,4,3,2,4,4,4,3,4,4,4,
['0.8',4,4,4,3,15,6,4,6,6,4,4,13,4,5,4,8,4,4,4,4,1,2,4,4,10,4,10,3,8,3,1,7,4,4,4,3,3,4,4,4,4,2,4,2,3,5,3,2,4,4,4,3,3,3,3,
['0.7',2,3,2,1,5,4,4,3,3,4,3,7,4,7,3,3,3,1,1,2,1,1,2,1,2,2,6,1,4,1,0,4,2,2,4,3,3,1,0,0,0,2,1,1,2,4,1,0,2,1,1,1,1,2,2,
['0.6',3,0,0,0,0,3,2,1,0,0,1,1,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,4,0,0,2,0,0,0,0,0,0,4,0,0,1,3,0,0,1,0,0,0,0,0,0,
['0.5',0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drops,2,1,2,3,11,0,0,4,4,1,1,5,0,0,1,5,1,3,3,2,3,3,2,3,10,2,6,3,4,2,3,4,2,2,0,1,1,3,4,4,4,1,3,2,2,0,3,2,2,3,3,3,3,2,2,2.654545455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Korean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,3,11,5,4,7,7,5,4,14,4,4,2,6,3,3,3,3,1,1,3,2,11,4,14,4,7,4,4,6,4,4,4,4,4,4,4,3,1,2,2,0,3,3,3,2,2,3,4,4,4,4,4,
['0.9',4,4,3,0,9,5,4,7,7,5,3,17,4,5,1,2,1,1,2,3,1,1,3,3,12,4,12,4,8,4,4,6,4,4,6,4,4,3,4,3,2,3,3,2,2,3,1,3,3,3,4,4,4,4,4,
['0.8',5,3,2,2,6,4,3,5,6,3,3,21,4,4,1,2,1,1,2,3,1,2,2,3,9,3,11,3,8,2,2,5,4,4,6,4,4,2,2,2,2,1,1,0,3,3,2,2,2,2,1,1,3,3,3,
['0.7',2,3,2,0,4,5,2,2,3,2,2,11,3,3,1,3,1,1,1,2,1,1,1,1,3,2,7,2,11,2,2,3,2,2,3,1,1,1,1,1,2,0,0,0,1,2,1,1,2,1,1,1,1,1,1,
['0.6',1,0,0,0,0,7,0,0,0,0,0,3,2,3,1,5,1,0,0,0,0,0,0,0,1,0,5,0,6,0,0,1,0,0,3,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,
['0.5',0,1,0,0,1,9,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,0,
Drops,2,1,2,3,7,1,2,5,4,3,2,3,1,1,1,4,2,2,2,1,0,0,2,1,8,2,7,2,0,2,2,3,2,2,1,3,3,3,3,2,0,2,2,0,2,1,2,1,0,2,3,3,3,3,3,2.254545455
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Russian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Original,4,4,4,2,13,4,4,6,7,4,4,15,4,5,4,7,4,4,3,4,1,3,4,4,12,4,10,4,7,4,3,8,4,4,4,4,4,5,3,3,3,4,4,3,3,3,2,2,4,4,4,4,4,4,4,
['0.9',4,4,4,2,13,4,4,7,7,4,4,16,4,4,4,6,4,4,2,3,1,3,4,4,12,4,10,4,7,4,3,8,4,4,4,4,4,4,3,3,3,4,4,2,3,3,2,2,4,4,4,4,4,4,4,
['0.8',3,3,3,1,11,4,4,5,5,3,4,18,4,5,3,6,4,4,4,3,1,3,4,4,10,3,12,4,8,3,2,8,3,3,4,4,4,4,3,4,3,4,4,2,2,3,2,2,4,4,4,4,4,4,4,
['0.7',4,2,2,0,6,6,3,2,2,2,3,16,4,4,2,3,3,3,3,2,0,1,2,2,2,2,8,1,10,1,0,5,2,3,4,3,2,1,0,1,3,1,0,0,0,5,1,1,2,1,1,3,1,1,3,
['0.6',0,1,0,0,0,2,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,7,0,0,0,0,1,4,1,0,0,0,0,1,4,0,0,0,6,0,0,1,0,0,0,0,0,0,
['0.5',0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,
Drops,1,2,2,2,7,0,1,4,5,2,1,0,0,1,2,4,1,1,1,2,1,2,2,2,10,2,2,3,0,3,3,3,2,1,0,1,2,4,3,2,0,3,4,3,3,0,1,1,2,3,3,1,3,3,1,2.145454545
